blogId,blogUrl,nickname,groupIds,groupNames,isInfluencer,influencerId,influencerUrl
"lepain-","https://blog.naver.com/lepain-","LePain","2","06.투자","N","",""
"koocci","https://blog.naver.com/koocci","한국기업평판연구소","2","06.투자","N","",""
"valparaiso","https://blog.naver.com/valparaiso","블루소다100percent","2","06.투자","N","",""
"odsyy74","https://blog.naver.com/odsyy74","더팬덤","3","09.해외투자","N","",""
"kayla__kim","https://blog.naver.com/kayla__kim","케일라 Kayla","2","06.투자","N","",""
"artes75","https://blog.naver.com/artes75","Aleph0","2","06.투자","N","",""
"meanhope","https://blog.naver.com/meanhope","선해","2","06.투자","N","",""
"jjanjie3","https://blog.naver.com/jjanjie3","그라찌에","2","06.투자","N","",""
"ddorokipapa","https://blog.naver.com/ddorokipapa","또로기 아빠","2","06.투자","N","",""
"patience-","https://blog.naver.com/patience-","물극필반","2","06.투자","N","",""
"pingwa71","https://blog.naver.com/pingwa71","주은애비","2","06.투자","N","",""
"freebutdeep2","https://blog.naver.com/freebutdeep2","freebutdeep","2","06.투자","N","",""
"tatzu1","https://blog.naver.com/tatzu1","Tatzu","2","06.투자","N","",""
"wlfvndxnwk","https://blog.naver.com/wlfvndxnwk","어쩐지 변호사","2","06.투자","N","",""
"ksh368","https://blog.naver.com/ksh368","멍거처럼","2","06.투자","N","",""
"suntan1030","https://blog.naver.com/suntan1030","김태현","2","06.투자","N","",""
"junsa26","https://blog.naver.com/junsa26","무상보리심","2","06.투자","N","",""
"rock-invest","https://blog.naver.com/rock-invest","투자인 록펠러","2","06.투자","N","",""
"bwt8307","https://blog.naver.com/bwt8307","퍼스의어부","2","06.투자","N","",""
"kcg7721","https://blog.naver.com/kcg7721","참스 CHAMS","2","06.투자","N","",""
"r123k120","https://blog.naver.com/r123k120","Values in Growth","2","06.투자","N","",""
"stockinvcowcow","https://blog.naver.com/stockinvcowcow","영리한황소","2","06.투자","N","",""
"resist50m","https://blog.naver.com/resist50m","웰컴웰컴","3","09.해외투자","N","",""
"dbsgus2012","https://blog.naver.com/dbsgus2012","주식독학","2","06.투자","N","",""
"rhapsody11","https://blog.naver.com/rhapsody11","아직과이미사이","2","06.투자","N","",""
"barn_burning","https://blog.naver.com/barn_burning","버닝","2","06.투자","N","",""
"0bin823","https://blog.naver.com/0bin823","와이빈","2","06.투자","N","",""
"ronalee","https://blog.naver.com/ronalee","ManAGyst","8","10.Youtuber","N","",""
"ilunza","https://blog.naver.com/ilunza","모닝티CEO","3","09.해외투자","N","",""
"quantamental","https://blog.naver.com/quantamental","심플가이","2","06.투자","N","",""
"osbigsur","https://blog.naver.com/osbigsur","주임","2","06.투자","N","",""
"jin02613","https://blog.naver.com/jin02613","편안한 투자","2","06.투자","N","",""
"insertkn","https://blog.naver.com/insertkn","톡토기","2","06.투자","N","",""
"hyunjunserene","https://blog.naver.com/hyunjunserene","무사","2","06.투자","N","",""
"darksun1998","https://blog.naver.com/darksun1998","동사 황약사","2","06.투자","N","",""
"mechdsdl","https://blog.naver.com/mechdsdl","차니파파","2","06.투자","N","",""
"peteryim15","https://blog.naver.com/peteryim15","ham","2","06.투자","N","",""
"karlpark700","https://blog.naver.com/karlpark700","넥스트텐베거","3","09.해외투자","N","",""
"ssenepodd","https://blog.naver.com/ssenepodd","주린","2","06.투자","N","",""
"echomarket","https://blog.naver.com/echomarket","에코마케팅","2","06.투자","N","",""
"abyss2004","https://blog.naver.com/abyss2004","마술사얀","2","06.투자","N","",""
"hhhhnk","https://blog.naver.com/hhhhnk","해기사 투자자","2","06.투자","N","",""
"waterdrpkhp","https://blog.naver.com/waterdrpkhp","스트래티지스츠","14","03.정리","N","",""
"chumy","https://blog.naver.com/chumy","chumy","2","06.투자","N","",""
"snnswtr","https://blog.naver.com/snnswtr","곰마우","2","06.투자","N","",""
"foolishest","https://blog.naver.com/foolishest","meteor","2","06.투자","N","",""
"minj0707","https://blog.naver.com/minj0707","경제적자유","3","09.해외투자","N","",""
